Destination ,Latitude,Longitude,Rating,Short Descriptin,Image
Ceylon Tea Museum,7.2685103,80.6325523,4,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7a/82/d9/tea-museum-10.jpg?w=1000&h=-1&s=1
Victoria Park of Nuwara Eliya,6.9690563,80.7682045,3.7,Parks • Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5b/99/cb/victoria-park.jpg?w=1000&h=800&s=1
Sea Turtle Conservation Project (Koggala),5.9928848,80.3118138,4.1,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/69/70/0e/photo2jpg.jpg?w=1000&h=800&s=1
Popham's Arboretum,7.8605636,80.6756029,4.5,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/2b/b4/73/a-giant-fig-tree-within.jpg?w=1000&h=800&s=1
Coral Sanctuary,6.1373419,80.0992534,3.5,Reefs,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/38/4e/54/94779854274.jpg?w=800&h=-1&s=1
Tsunami Honganji Vihara,6.1630536,80.0916879,4.4,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/da/48/5a/a-place-of-deep-remembrance.jpg?w=1000&h=800&s=1
Lion Rock,22.3522705,114.1870366,4.5,Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9d/17/1c/caption.jpg?w=1000&h=-1&s=1
Beddegana Wetland Park,6.8906137,79.9066206,4.5,Nature & Wildlife Areas • Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/79/9b/28/caption.jpg?w=1000&h=-1&s=1
Weligama Beach,5.9710973,80.4268312,4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b3/25/73/beach-area.jpg?w=1000&h=800&s=1
Pearl Bay,6.737048,79.9853495,4.5,Water Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/d0/ec/cf/storm-chaser-pearl-bay.jpg?w=1000&h=800&s=1
Galle Antiques,6.0454955,80.2376469,5,Antique Shops,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/29/3d/b5/galle-antiques.jpg?w=1000&h=800&s=1
Nallur Kovil,9.6749449,80.0292429,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/43/a0/61/nallur-kovil-jaffnamost.jpg?w=1000&h=800&s=1
Kataragama Temple,6.4185071,81.3332777,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=1000&h=800&s=1
Colombo City Centre,6.9173554,79.8550325,3.9,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/f1/d5/e7/colombo-city-centre.jpg?w=1000&h=800&s=1
Hakgala Botanic Gardens,6.9265849,80.8215284,4.1,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/35/4f/0e/inside-the-garden.jpg?w=1000&h=800&s=1
Jaya Sri Maha Bodhi,8.3446448,80.3972292,4.2,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/9a/ef/e2/20190728-115827-largejpg.jpg?w=1000&h=800&s=1
Ambuluwawa Tower,7.1615289,80.5473161,4.4,Visitor Centers • Observation Decks & Towers,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/35/5b/34/photo2jpg.jpg?w=1000&h=800&s=1
Turtle Beach,31.4179584,-93.6446237,3.3,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/c7/93/61/caption.jpg?w=1000&h=-1&s=1
Esala Perahera Festival,,,3.9,Cultural Events,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/33/b2/25/esala-perahera-festival.jpg?w=1000&h=-1&s=1
Diyatha Uyana,6.904575,79.9098313,4.4,Parks • Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ef/c2/df/20200609-211528-largejpg.jpg?w=1000&h=800&s=1
Millennium Elephant Foundation,7.2751061,80.3836272,3.7,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/81/2c/47/photo6jpg.jpg?w=1000&h=-1&s=1
Demodara Loop,6.9027511,81.0518936,4.4,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/d0/1b/c5/if-timing-is-right-you.jpg?w=400&h=300&s=1
Gal Vihara,7.9660522,81.0049479,4.6,Points of Interest & Landmarks • Monuments & Statues,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/60/36/a5/7-m-buddha.jpg?w=600&h=500&s=1
Dutch Canal,7.106930374,79.84875603,3.4,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/a7/55/4a/dutch-canal-is-being.jpg?w=800&h=600&s=1
Isurumuniya Temple,8.3346006,80.3906446,4.2,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/05/26/a3/front-view.jpg?w=600&h=500&s=1
Snake Farm Weligama (Traditional Farm),6.0139105,80.4737256,4.8,Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/56/7b/45/caption.jpg?w=1000&h=800&s=1
Galle Fort Lighthouse,6.0304592,80.2150207,4,Lighthouses,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=1000&h=-1&s=1
Good Market,,,4.2,Flea & Street Markets • Farmers Markets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/37/2e/05/good-market.jpg?w=1000&h=800&s=1
Colombo Lotus Tower,6.9270355,79.8583348,3.6,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=1000&h=800&s=1
Pidurutalagala,7.0010363,80.773745,4.4,Lookouts • Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/59/12/05/pidurutalagala.jpg?w=900&h=700&s=1
Sri Pathrakali Amman Temple,8.5747811,81.2344145,4.7,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/83/91/a7/sri-pathrakali-amman.jpg?w=800&h=600&s=1
